type,difficulty,question,optionA,optionB,optionC,optionD,optionE,correctId,explanation
Verbal - Sinonim,Easy,INSOMNIA = ...?,Cemas,Sedih,Tak bisa tidur,Kenyataan,Mimpi buruk,C,Insomnia adalah gangguan yang menyebabkan sulit tidur.
Verbal - Sinonim,Medium,BONAFIDE = ...?,Jujur,Dapat dipercaya,Surat berharga,Catatan,Jenis tanaman,B,Bonafide berarti dapat dipercaya dengan baik (tentang perusahaan dsb).
Verbal - Sinonim,Hard,KLEPTOFOBIA = ...?,Takut kecurian,Takut berlebihan,Takut gelap,Takut ketinggian,Penyakit suka mencuri,A,Kleptofobia adalah rasa takut berlebihan (fobia) akan kecurian.
Verbal - Antonim,Easy,PAKAR >< ...?,Ahli,Awam,Dokter,Pionir,Mahir,B,Pakar adalah ahli; lawannya adalah orang biasa atau awam.
Verbal - Antonim,Medium,NOMADIK >< ...?,Berpindah,Menetap,Modern,Kuno,Sesuai norma,B,Nomadik artinya berpindah-pindah; lawannya adalah menetap.
Verbal - Antonim,Hard,EKLEKTIK >< ...?,Memilih,Campuran,Tak pilih-pilih,Sempit,Radikal,C,Eklektik berarti memilih dari berbagai sumber (selektif); lawannya adalah tidak pilih-pilih (sembarangan).
Verbal - Analogi,Easy,KAYU : KERTAS = ... : ...?,Meja : Kursi,Besi : Pisau,Plastik : Minyak,Kulit : Sepatu,Daun : Teh,B,Kayu diolah menjadi kertas; Besi diolah menjadi pisau (Bahan baku : Produk).
Verbal - Analogi,Medium,SAPI : RUMPUT = ... : ...?,Manusia : Nasi,Macan : Daging,Kuda : Balapan,Mobil : Bensin,Api : Kayu,D,Sapi butuh rumput untuk energi; Mobil butuh bensin untuk energi (Sumber energi).
Verbal - Analogi,Hard,TELESKOP : BINTANG = ... : ...?,Periskop : Kapal Selam,Mikroskop : Bakteri,Kamera : Foto,Lensa : Mata,Stetoskop : Telinga,B,Teleskop untuk melihat benda jauh (bintang); Mikroskop untuk melihat benda kecil (bakteri).
Numerik - Aritmatika,Easy,Nilai dari 25% dari 160 adalah?,30,35,40,45,50,C,25% = 1/4. Maka 160 / 4 = 40.
Numerik - Aritmatika,Medium,Jika a = 4 dan b = 3. Maka nilai dari (a^2 + 2ab + b^2) adalah?,14,25,36,49,64,D,Rumus (a+b)^2. Jadi (4+3)^2 = 7^2 = 49.
